//SETUP

Setup:Setup											Impostazioni
Setup:Advanced settings								Impostazioni avanzate
Setup:General settings								Impostazioni generali
Setup:Template										Template
Setup:E-mail template								Template delle e-mail
Setup:DEFAULT										PREDEFINITO
Setup:Site name										Nome del sito
Setup:Title											Titolo
Setup:Subtitle										Sottotitolo
Setup:Preview										Anteprima
Setup:Payoff										Payoff
Setup:Footer										Pié di pagina
Setup:Text											Testo
Setup:Price											Prezzo
Setup:Discounted									Prezzo scontato
Setup:Quantity										Quantità
Setup:Private area									Area riservata
Setup:Categories									Categorie
Setup:Creation date									Data di creazione
Setup:Visible from									Visibile dal
Setup:Expiration date								Data di scadenza
Setup:Weight										Peso
Setup:Rating										Voto
Setup:Votes											Numero di voti
Setup:Photogallery									Galleria fotografica
Setup:Document gallery								Galleria di documenti
Setup:Layout										Impaginazione
Setup:Metadata										Meta-dati
Setup:SEO (Search Engine Optimization)				SEO (Ottimizzazione per i motori di ricerca)
Setup:Custom fields									Campi personalizzati
Setup:Add a field									Aggiungi un campo
Setup:Edit a field									Modifica un campo
Setup:Copyright										Copyright
Setup:Timezone										Fuso orario
Setup:Date format									Formato data
Setup:day											giorno
Setup:month											mese
Setup:year											anno
Setup:hour											ora
Setup:minutes										minuti
Setup:seconds										secondi
Setup:others										altri
Setup:%s date										data di %s
Setup:Search Engine Optimization					Ottimizzazione per i motori di ricerca
Setup:Reserved URLs									Indirizzi riservati
Setup:RSS Feed										Feed RSS
Setup:Error while saving the %s parameter			Errore durante il salvataggio del parametro %s
Setup:Successfully saved							Modifiche salvate con successo
Setup:Files											Files
Setup:Page settings									Impostazioni delle pagine
Setup:News settings									Impostazioni delle notizie
Setup:Photogallery settings							Impostazioni delle gallerie fotografiche
Setup:Shop settings									Impostazioni del negozio
Setup:Fields to display in administration panel		Campi da mostrare nel pannello di controllo
Setup:E-mails and newsletters						E-mail e newsletter
Setup:Images										Immagini
Setup:Statistics									Statistiche
Setup:Maintenance									Manutenzione
Setup:Activity log									Log delle attivit&agrave;
Setup:Config.inc.php								Config.inc.php
Setup:Track sent mail								Traccia le e-mail inviate
Setup:Max logged records							Numero massimo di record in archivio
Setup:Mail per hour limit							Limite di e-mail inviabili in un'ora
Setup:It helps to save space into database			Serve a risparmiare spazio nel database
Setup:A lower value helps to not be blacklisted		Un numero basso aiuta a non venire segnalato come spammer
Setup:Successfully saved							Salvato con successo
Setup:Error saving parameters						Errore durante il salvataggio dei parametri
Setup:Error setting the new template				Errore durante la modifica del template
Setup:On conversions, set the moderation method to CAPTCHA then use {CAPTCHA} inside forms to use it.		Nelle conversioni, imposta CAPTCHA come metodo di moderazione quindi scrivi {CAPTCHA} dentro ai form dove intendi usarlo.
Setup:create a new account on reCaptcha				Crea un nuovo account su reCaptcha
Setup:Name											Nome
Setup:Type											Tipo
Setup:Values										Valori
Setup:Categories									Categorie
Setup:Order											Ordine
Setup:Checkbox										Casella da spuntare
Setup:Multiple Choice								Scelta multipla
Setup:Select										Selezione a tendina
Setup:Textarea										Area di testo
Setup:One value for each line						Un valore per linea
Setup:Use into the following categories				Usa nelle seguenti categorie
Setup:Send via SMTP instead of mail()				Invia tramite SMTP invece che con mail()
Setup:Host											Host
Setup:Port											Porta
Setup:Username										Nome utente
Setup:Password										Password
Setup:Welcome page									Pagina di benvenuto
Setup:Welcome page setup							Impostazioni della pagina di benvenuto
