//SHOP
Shop:Shop						Negozio
Shop:Add an item				Crea un oggetto
Shop:Manage items				Gestione degli oggetti
Shop:Delete items from shop		Elimina un oggetto
Shop:Categories management		Gestione delle categorie
Shop:Add						Crea
Shop:Edit						Modifica
Shop:Delete						Elimina
Shop:Categories					Categorie
Shop:Item's name				Nome dell'oggetto
Shop:Item URL					URL dell'oggetto
Shop:Created on					Creato il giorno
Shop:Visible from				Visibile dal giorno
Shop:Expiration date			Scade il giorno
Shop:and from time				alle ore
Shop:and time					alle ore
Shop:Create Item				Crea oggetto
Shop:Item successfully added	Oggetto inserito con successo
Shop:Problems while adding the item to the database		Si sono verificati dei problemi durante l'inserimento dell'oggetto nel database
Shop:Title						Oggetto
Shop:Subtitle					Sottotitolo
Shop:Preview					Anteprima
Shop:Description				Descrizione
Shop:Categories					Categorie
Shop:Photogallery				Galleria fotografica
Shop:Document gallery			Galleria allegati
Shop:URL						URL
Shop:Item's URL					URL dell'oggetto
Shop:Order						Ordinamento
Shop:Price						Prezzo
Shop:Discounted					Prezzo scontato
Shop:Weight						Peso
Shop:Qty						Qta
Shop:Quantity					Quantità
Shop:This item has				Questo oggetto ha
Shop:Item successfully saved	Oggetto salvato con successo
Shop:On-line					On-line
Shop:DRAFT						BOZZA
Shop:Turn off-line				Metti off-line
Shop:Item successfully off-lined	Oggetto messo off-line con successo
Shop:Item successfully deleted	Oggetto eliminato con successo
Shop:Do you want to off-line this item?		Sei sicuro di voler mettere off-line questo oggetto?
Shop:Do you want to COMPLETELY DELETE this item?	Sei sicuro di voler ELIMINARE COMPLETAMENTE questo oggetto?
Shop:Opened orders				Ordini aperti
Shop:Closed orders				Ordini chiusi
Shop:Close order				Chiudi ordine
Shop:Cancel order				Annulla l'ordine
Shop:Canceled orders			Ordini annullati
Shop:Are you sure?				Sei sicuro?
Shop:Details					Dettagli
Shop:Close						Chiudi
Shop:Cancel						Annulla
Shop:Mark as payed				Segna come pagato
Shop:Mark as shipped			Segna come spedito
Shop:Not yet shipped			Non ancora spedito
Shop:Shipped					Spedito
Shop:Payment details			Dettagli pagamento
Shop:Shipment details			Dettagli spedizione
Shop:Shipment data				Dati di spedizione
Shop:Order #					# Ordine
Shop:Order number				Numero ordine
Shop:Transactions				Transazioni
Shop:No payments received yet	Nessun pagamento ricevuto
Shop:Report a payment			Segnala un pagamento
Shop:Report						Segnala
Shop:Payment method				Metodo di pagamento
Shop:Date						Data
Shop:Customer					Cliente
Shop:Payment					Pagamento
Shop:Delivery					Spedizione
Shop:Amount						Importo
Shop:Successfully saved			Salvato con successo
Shop:Sorry, error while saving	Scusa, non sono riuscito a salvare
Shop:Shipment					Spedizione
Shop:Tracking number			Codice di tracking
Shop:Tracking URL				URL di tracking
Shop:Deliverer					Corriere
Shop:Shipped on					Spedito il
Shop:Report shipment			Segnala spedizione
Shop:Personal data				Dati personali
Shop:Name						Nome
Shop:E-mail						E-mail
Shop:This order was moved into CLOSED orders list	Quest'ordine è stato spostato nella lista degli ordini CHIUSI
Shop:This order was moved into CANCELED orders list	Quest'ordine è stato spostato nella lista degli ordini ANNULLATI
Shop:Order details				Dettagli dell'ordine
Shop:Total amount				Importo totale
Shop:Invoice data				Dati di fatturazione
Shop:Actions to do if bought	Azioni da compiere se viene acquistato
Shop:Grant access to the following directories	Permetti l'accesso alle seguenti cartelle
Shop:Forced closure				Chiusura forzata
Shop:Sheet						Scheda
Shop:Variations					Varianti
Shop:Add variation				Aggiungi variante
Shop:Choose the item from which to import	Scegli l'oggetto da cui importare
Shop:Import variations			Importa varianti
Shop:Import from another item	Importa da un altro oggetto
Shop:Import variations from another item	Importa varianti da un altro oggetto
Shop:Add a new variation		Aggiungi una nuova variante
Shop:Add a new collection		Aggiungi una nuova collezione
Shop:Collection					Raccolta
Shop:New collection's name		Nome della nuova raccolta
Shop:Variation name				Nome della variante
Shop:Copy variation from		Copia variante da
Shop:Create variation			Crea variante
Shop:Successfully updated		Salvata con successo
Shop:You can add, subtract or reset the price using this formulas	Puoi aggiungere, sottrarre o reimpostare il prezzo usando formule di questo tipo
Shop:Leave empty to maintain the same price of the item	Lascia vuoto per mantenere lo stesso prezzo dell'oggetto
Shop:Ops, some errors occurred while saving. Please retry.	Ops. Si &egrave; verificato qualche problema durante il salvataggio. Per favore riprova.
Shop:There are no variations for this item	Non ci sono varianti per questo oggetto
Shop:Do you really want to delete this variation?	Vuoi veramente cancellare questa variante?
