//USERS
Users:Users management				Gestione utenti
Users:Create a new user				Crea un nuovo utente
Users:Edit user						Modifica un utente
Users:Delete user					Elimina un utente
Users:Create						Crea nuovo
Users:Edit							Modifica
Users:Delete						Elimina
Users:Public users					Utenti pubblici
Users:Name							Nome
Users:E-mail						E-mail
Users:User							Utente
Users:Username						Nome utente
Users:Password						Password
Users:Repeat Password				Ripeti la password
Users:Language						Lingua
Users:This username already exists!	Questo nome utente esiste già!
Users:Grant access to the following features	Concedi l'accesso alle seguenti funzionalità
Users:Create user					Crea utente
Users:A short description of you	Qualcosa di breve su di te	
Users:More infos					Più informazioni
Users:Profile picture				Foto profilo
Users:Upload a photo of you			Carica una tua foto
Users:Change password				Cambia password
Users:Created on					Creato il
Users:Last log-in					Ultimo accesso
Users:Name is missing				Manca il nome
Users:Username is missing			Manca il nome utente
Users:You can't delete yourself!	Non puoi cancellare te stesso!
Users:Are you sure you want to permanently delete this user?	Sei sicuro di voler rimuovere definitivamente questo utente?
